allo	7	10	5	 pA_B	
de	6	6	6	 pA_I	
m-	5	6	4	 pA_I	
je	4	4	4	 pA_I	
f-	13	15	4	 pA_I	
enfin	21	22	21	 pA_I	
en	4	4	4	 pA_I	
fait	5	6	4	 pA_I	
ça	5	6	4	 pA_I	
me	8	23	4	 pA_I	
saoule	10	15	5	 pA_I	
un	5	5	5	 pA_I	
peu	12	22	5	 pA_I	
de	6	6	6	 pA_I	
manger	4	6	4	 pA_I	
des	4	4	3	 pA_I	
sandwiches	4	5	4	 pA_I	
du	12	12	12	 pA_I	
coup	6	6	6	 pA_I	
euh	5	15	3	 pA_I	
du	 NA	 NA	 NA	 pA_I	
coup	15	16	14	 pA_I	
voilà	5	6	5	 pA_I	
en	6	6	6	 pA_I	
fait	7	10	5	 pA_I	
ça	5	6	5	 pA_I	
dépend	6	7	5	 pA_I	
si	4	6	1	 pA_I	
il	5	5	5	 pA_I	
nous	4	5	4	 pA_I	
lâche	4	4	4	 pA_I	
avant	5	5	4	 pA_I	
ou	13	20	3	 pA_I	
pas	5	22	3	 pA_L	
	 	 	 	 	 
ouais	5	5	4	 pA_U	
ouais	5	5	4	 pA_B	
d	4	5	4	 pA_I	
accord	4	5	4	 pA_L	
	 	 	 	 	 
parce	5	5	4	 pA_B	
que	5	5	4	 pA_I	
tu	6	6	6	 pA_I	
sais	6	6	6	 pA_I	
si	6	6	6	 pA_I	
il	5	6	5	 pA_I	
nous	5	5	4	 pA_I	
lâche	7	20	4	 pA_I	
trop	13	22	5	 pA_I	
en	4	5	4	 pA_I	
retard	5	6	4	 pA_I	
et	5	5	4	 pA_I	
qu	12	22	4	 pA_I	
on	12	22	4	 pA_I	
voit	4	4	4	 pA_I	
qu	4	5	4	 pA_I	
il	4	5	4	 pA_I	
y	4	5	4	 pA_I	
a	4	4	4	 pA_I	
la	4	4	4	 pA_I	
queue	5	5	5	 pA_I	
à	4	5	4	 pA_I	
la	4	4	4	 pA_I	
limite	4	5	4	 pA_I	
si	 NA	 NA	 NA	 pA_I	
tu	17	20	4	 pA_I	
veux	4	4	4	 pA_I	
on	4	4	4	 pA_I	
va	3	4	3	 pA_I	
manger	3	3	3	 pA_I	
dehors	4	4	4	 pA_L	
	 	 	 	 	 
ok	5	7	5	 pA_U	
non	7	7	6	 pA_B	
parce	4	7	1	 pA_I	
que	4	7	1	 pA_I	
enfin	5	6	5	 pA_I	
voilà	5	6	5	 pA_I	
c	5	6	4	 pA_I	
é	5	6	4	 pA_I	
c	5	5	4	 pA_I	
était	5	5	4	 pA_I	
pour	5	5	4	 pA_I	
prévoir	5	6	5	 pA_I	
parce	5	6	4	 pA_I	
que	5	6	4	 pA_I	
moi	5	5	5	 pA_I	
aussi	5	6	4	 pA_I	
faut	5	5	4	 pA_I	
que	4	5	4	 pA_I	
je	4	4	4	 pA_I	
prenne	4	5	4	 pA_I	
l	4	5	4	 pA_I	
argent	4	5	4	 pA_I	
sur	5	5	4	 pA_I	
moi	5	5	5	 pA_I	
tu	7	22	4	 pA_I	
vois	4	4	4	 pA_L	
	 	 	 	 	 
daccord	4	5	4	 pA_U	
	 	 	 	 	 
et	5	5	4	 pA_B	
mais	5	5	4	 pA_I	
si	6	6	5	 pA_I	
tu	6	6	5	 pA_I	
veux	6	8	5	 pA_I	
on	5	8	5	 pA_I	
mange	5	6	4	 pA_I	
une	5	6	5	 pA_I	
salade	6	7	4	 pA_I	
aussi	4	5	4	 pA_L	
	 	 	 	 	 
si	10	20	5	 pA_B	
tu	5	5	4	 pA_I	
veux	5	6	5	 pA_I	
on	6	6	5	 pA_I	
fait	5	6	5	 pA_I	
ça	5	6	4	 pA_I	
enfin	4	5	4	 pA_I	
si	5	5	5	 pA_I	
il	5	5	5	 pA_I	
nous	5	5	5	 pA_I	
laisse	5	5	4	 pA_I	
un	5	5	4	 pA_I	
peu	5	5	5	 pA_I	
en	4	5	4	 pA_I	
avant	5	5	4	 pA_I	
on	4	5	4	 pA_I	
peut	5	5	4	 pA_I	
aller	4	4	4	 pA_I	
à	4	4	4	 pA_I	
la	4	4	4	 pA_I	
cantine	5	6	4	 pA_I	
de	 NA	 NA	 NA	 pA_I	
toute	 NA	 NA	 NA	 pA_I	
façon	4	4	4	 pA_L	
mais	4	4	4	 pA_B	
euh	3	4	3	 pA_I	
si	4	5	3	 pA_I	
parce	4	5	3	 pA_I	
que	4	5	3	 pA_I	
tu	19	20	5	 pA_I	
voulais	4	5	4	 pA_I	
pas	5	5	4	 pA_I	
aller	5	5	5	 pA_I	
à	5	5	5	 pA_I	
la	5	5	5	 pA_I	
cantine	6	8	5	 pA_L	
	 	 	 	 	 
et	4	5	4	 pA_B	
euh	4	4	4	 pA_I	
et	12	13	12	 pA_I	
c	13	22	5	 pA_I	
est	13	22	5	 pA_I	
pareil	7	8	5	 pA_I	
y	6	7	5	 pA_I	
a	5	5	5	 pA_I	
aussi	13	21	5	 pA_I	
que	16	17	16	 pA_I	
je	6	16	5	 pA_I	
voulais	6	6	5	 pA_I	
appeler	6	7	5	 pA_I	
du	7	7	7	 pA_I	
coup	7	7	6	 pA_I	
mais	4	6	4	 pA_I	
tu	 NA	 NA	 NA	 pA_I	
vas	4	5	4	 pA_I	
me	4	4	4	 pA_I	
donner	4	4	4	 pA_I	
des	4	5	4	 pA_I	
petites	 NA	 NA	 NA	 pA_I	
news	6	6	5	 pA_I	
sur	10	17	4	 pA_I	
comment	4	5	4	 pA_I	
ça	5	5	4	 pA_I	
allait	5	7	4	 pA_I	
parce	4	4	3	 pA_I	
que	4	4	3	 pA_L	
j	7	17	5	 pA_B	
avais	7	17	5	 pA_I	
dit	7	8	6	 pA_I	
mais	8	8	7	 pA_I	
faut	5	5	5	 pA_I	
trop	7	7	6	 pA_I	
qu	8	8	7	 pA_I	
on	8	8	7	 pA_I	
se	7	7	6	 pA_I	
voie	8	8	7	 pA_I	
même	7	8	6	 pA_I	
si	 NA	 NA	 NA	 pA_I	
elle	6	6	5	 pA_I	
est	5	5	5	 pA_I	
pas	5	5	5	 pA_I	
là	6	9	5	 pA_I	
tu	 NA	 NA	 NA	 pA_I	
vois	7	7	7	 pA_I	
faudrait	4	5	4	 pA_I	
trop	6	6	5	 pA_I	
qu	6	6	6	 pA_I	
on	6	6	6	 pA_I	
se	5	6	5	 pA_I	
voie	6	7	5	 pA_I	
alors	4	6	3	 pA_I	
moi	5	6	4	 pA_I	
mais	5	6	5	 pA_I	
ce	 NA	 NA	 NA	 pA_I	
mois	5	5	5	 pA_I	
ci	6	6	6	 pA_I	
il	5	6	5	 pA_I	
est	4	5	4	 pA_I	
passé	5	6	3	 pA_I	
à	3	3	3	 pA_I	
toute	10	22	3	 pA_I	
allure	7	16	4	 pA_I	
quoi	4	4	4	 pA_I	
en	4	4	4	 pA_I	
fait	5	6	4	 pA_I	
euh	3	4	30	 pA_I	
ça	4	4	4	 pA_I	
a	4	4	4	 pA_I	
été	4	4	4	 pA_I	
super	5	5	5	 pA_I	
ric	5	5	5	 pA_I	
rac	10	17	4	 pA_I	
ouais	4	4	3	 pA_L	
	 	 	 	 	 
ben	7	8	5	 pA_B	
de	6	7	5	 pA_I	
toute	7	8	6	 pA_I	
façon	9	10	7	 pA_I	
euh	7	9	7	 pA_I	
moi	7	8	6	 pA_I	
j	7	8	6	 pA_I	
attendais	7	8	6	 pA_I	
le	7	8	7	 pA_I	
retour	7	9	6	 pA_I	
de	7	8	6	 pA_I	
là	8	9	6	 pA_I	
de	6	6	5	 pA_I	
la	6	7	6	 pA_I	
réunion	8	11	6	 pA_L	
et	6	6	30	 pA_B	
euh	5	6	4	 pA_I	
et	6	7	5	 pA_I	
donc	6	7	4	 pA_I	
du	6	8	5	 pA_I	
coup	9	9	6	 pA_I	
là	8	9	7	 pA_L	
	 	 	 	 	 
je	5	7	5	 pA_B	
m	5	6	5	 pA_I	
étais	5	6	5	 pA_I	
dit	6	6	6	 pA_I	
qu	6	6	5	 pA_I	
on	6	6	5	 pA_I	
aurait	5	5	5	 pA_I	
pu	5	5	5	 pA_I	
se	5	5	5	 pA_I	
voir	6	18	5	 pA_I	
quand	11	19	6	 pA_I	
même	6	6	6	 pA_I	
quoi	5	6	4	 pA_I	
tu	18	19	16	 pA_I	
vois	5	5	5	 pA_I	
qu	7	9	6	 pA_I	
on	7	9	6	 pA_I	
aurait	6	9	3	 pA_I	
pu	10	12	7	 pA_I	
se	17	18	17	 pA_I	
faire	4	4	4	 pA_I	
un	4	4	4	 pA_I	
truc	5	5	4	 pA_I	
euh	3	4	3	 pA_L	
	 	 	 	 	 
oui	7	9	5	 pA_B	
oui	8	9	6	 pA_I	
c	6	7	6	 pA_I	
est	6	7	6	 pA_I	
vrai	6	7	6	 pA_I	
c	6	6	5	 pA_I	
est	6	6	5	 pA_I	
vrai	6	6	5	 pA_I	
mais	5	5	5	 pA_I	
voilà	5	5	4	 pA_I	
bon	2	5	1	 pA_L	
on	4	5	1	 pA_B	
se	4	5	4	 pA_I	
dit	5	6	5	 pA_I	
on	6	6	5	 pA_I	
se	5	6	5	 pA_I	
dit	5	6	5	 pA_I	
ça	7	7	5	 pA_I	
puis	6	6	6	 pA_I	
après	6	6	5	 pA_I	
le	5	6	5	 pA_I	
temps	5	6	5	 pA_I	
passe	7	7	6	 pA_I	
puis	 NA	 NA	 NA	 pA_I	
tu	5	5	5	 pA_I	
dis	5	5	4	 pA_I	
bon	5	6	4	 pA_I	
ben	5	5	5	 pA_I	
finalement	4	6	1	 pA_I	
on	5	6	5	 pA_I	
arrive	5	7	1	 pA_I	
bientôt	5	6	1	 pA_I	
à	5	5	5	 pA_I	
la	6	6	5	 pA_I	
fin	6	7	5	 pA_I	
du	6	6	5	 pA_I	
mois	7	11	5	 pA_L	
	 	 	 	 	 
ça	8	8	7	 pA_B	
passe	7	7	6	 pA_I	
très	13	16	10	 pA_I	
vite	10	13	5	 pA_I	
exactement	9	16	5	 pA_L	
	 	 	 	 	 
voilà	6	6	6	 pA_U	
	 	 	 	 	 
c	9	22	5	 pA_B	
est	9	22	5	 pA_I	
exactement	9	17	5	 pA_I	
ça	8	9	7	 pA_I	
quoi	5	6	5	 pA_I	
tu	5	5	4	 pA_I	
vois	6	9	5	 pA_L	
	 	 	 	 	 
ouais	5	6	5	 pA_U	
	 	 	 	 	 
donc	6	7	5	 pA_B	
du	7	8	5	 pA_I	
coup	4	8	3	 pA_I	
j-	4	5	4	 pA_I	
euh	4	5	4	 pA_I	
je	10	20	5	 pA_I	
sais	6	7	5	 pA_I	
pas	8	8	6	 pA_I	
et	6	8	4	 pA_I	
faudrait	6	7	5	 pA_I	
peut	7	7	7	 pA_I	
être	6	7	5	 pA_I	
qu	6	6	6	 pA_I	
on	6	6	6	 pA_I	
essaie	6	6	5	 pA_I	
de	5	6	5	 pA_I	
se	5	5	5	 pA_I	
caler	6	6	6	 pA_I	
un	6	6	5	 pA_I	
truc	8	8	5	 pA_I	
euh	6	7	5	 pA_I	
je	20	21	20	 pA_I	
sais	5	6	5	 pA_I	
pas	6	6	6	 pA_I	
si	6	6	6	 pA_I	
ça	6	6	6	 pA_I	
vous	5	6	5	 pA_I	
dirait	5	6	4	 pA_I	
de	5	6	5	 pA_I	
qu	6	6	5	 pA_I	
on	6	6	5	 pA_I	
se	5	5	5	 pA_I	
voie	6	7	5	 pA_I	
peut	7	7	7	 pA_I	
être	6	7	6	 pA_I	
euh	5	6	4	 pA_I	
ben	10	17	5	 pA_I	
moi	6	7	5	 pA_I	
la	6	7	6	 pA_I	
semaine	6	7	6	 pA_I	
prochaine	7	8	6	 pA_I	
c	6	7	5	 pA_I	
est	6	7	5	 pA_I	
bien	6	6	5	 pA_I	
pris	8	10	5	 pA_I	
mais	8	10	6	 pA_I	
euh	6	6	5	 pA_I	
je	5	5	5	 pA_I	
sais	6	6	5	 pA_I	
pas	7	7	7	 pA_I	
le	7	7	6	 pA_I	
vendredi	6	8	4	 pA_I	
ou	7	8	7	 pA_I	
le	7	7	6	 pA_I	
samedi	7	10	5	 pA_L	
	 	 	 	 	 
ou	6	6	5	 pA_B	
ça	5	7	4	 pA_L	
	 	 	 	 	 
euh	4	4	4	 pA_B	
alors	4	5	2	 pA_I	
moi	6	8	5	 pA_I	
ça	7	8	6	 pA_I	
va	6	6	5	 pA_I	
être	5	6	5	 pA_I	
quoi	9	20	4	 pA_I	
samedi	7	7	6	 pA_I	
je	7	7	7	 pA_I	
sais	16	18	6	 pA_I	
que	5	6	5	 pA_I	
cest	9	20	5	 pA_I	
pas	5	5	5	 pA_I	
possible	8	16	5	 pA_I	
éventuellement	8	20	5	 pA_I	
vendredi	6	7	6	 pA_I	
ça	5	6	4	 pA_I	
peut	4	4	4	 pA_I	
être	4	4	4	 pA_I	
gérable	4	4	4	 pA_I	
le	4	4	4	 pA_I	
vendredi	6	7	5	 pA_I	
soir	7	15	2	 pA_L	
	 	 	 	 	 
ouais	4	4	3	 pA_B	
un	8	17	4	 pA_I	
truc	 NA	 NA	 NA	 pA_I	
cool	6	6	5	 pA_I	
vendredi	5	5	4	 pA_I	
soir	8	16	5	 pA_I	
ça	4	5	4	 pA_I	
peut	4	4	4	 pA_I	
être	10	19	4	 pA_I	
gérable	4	4	3	 pA_I	
clairement	3	4	3	 pA_I	
ouais	2	3	29	 pA_I	
hm	 NA	 NA	 NA	 pA_I	
hm	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
d	6	7	5	 pA_B	
accord	6	7	5	 pA_I	
ben	6	6	5	 pA_L	
	 	 	 	 	 
ben	4	4	4	 pA_B	
du	21	21	21	 pA_I	
coup	9	21	6	 pA_I	
on	6	7	6	 pA_I	
en	6	6	6	 pA_I	
reparle	6	6	5	 pA_I	
euh	5	5	4	 pA_I	
on	5	5	4	 pA_I	
en	5	5	5	 pA_I	
reparle	5	6	5	 pA_I	
la	5	5	5	 pA_I	
semaine	6	6	5	 pA_I	
prochaine	12	20	6	 pA_I	
mais	6	8	5	 pA_I	
ouais	6	6	5	 pA_I	
carrément	6	8	5	 pA_L	
	 	 	 	 	 
ben	6	7	5	 pA_B	
je	6	7	5	 pA_I	
vais	7	8	5	 pA_I	
euh	7	18	6	 pA_I	
je	6	7	5	 pA_I	
vais	6	7	5	 pA_I	
peut	8	8	8	 pA_I	
être	7	8	7	 pA_I	
euh	6	7	6	 pA_I	
rapidement	7	8	6	 pA_I	
euh	6	7	6	 pA_I	
au	6	6	6	 pA_I	
moins	7	7	6	 pA_I	
envoyer	6	7	5	 pA_I	
un	6	6	6	 pA_I	
mail	6	8	5	 pA_I	
à	3	6	1	 pA_I	
à	4	6	1	 pA_I	
et	6	7	5	 pA_I	
pis	6	6	5	 pA_I	
à	4	5	3	 pA_I	
parce	4	5	3	 pA_I	
que	4	5	3	 pA_I	
si	3	7	30	 pA_I	
euh	5	6	4	 pA_L	
voilà	5	6	5	 pA_U	
vu	6	7	5	 pA_B	
que	6	6	5	 pA_I	
c	6	8	5	 pA_I	
est	6	8	5	 pA_I	
toujours	7	8	4	 pA_I	
compliqué	7	8	5	 pA_I	
à	7	8	5	 pA_I	
plusieurs	7	8	5	 pA_I	
euh	5	6	5	 pA_L	
	 	 	 	 	 
ouais	5	5	4	 pA_B	
non	4	5	4	 pA_I	
tu	4	4	4	 pA_I	
as	4	4	4	 pA_I	
raison	4	4	3	 pA_I	
tu	 NA	 NA	 NA	 pA_I	
as	3	3	3	 pA_I	
raison	3	3	3	 pA_I	
tu	 NA	 NA	 NA	 pA_I	
as	30	30	30	 pA_I	
raison	30	30	30	 pA_I	
tu	 NA	 NA	 NA	 pA_I	
as	 NA	 NA	 NA	 pA_I	
raison	3	4	3	 pA_L	
	 	 	 	 	 
donc	5	6	4	 pA_B	
euh	6	6	5	 pA_I	
je	6	7	6	 pA_I	
je	6	6	5	 pA_I	
propose	7	8	5	 pA_I	
le	7	8	6	 pA_I	
vendredi	7	7	6	 pA_I	
soir	8	9	6	 pA_I	
toi	7	8	7	 pA_I	
euh	6	7	5	 pA_I	
pour	6	6	6	 pA_I	
l	7	8	5	 pA_I	
instant	7	8	5	 pA_I	
euh	5	6	4	 pA_I	
ça	6	6	6	 pA_I	
t	6	6	5	 pA_I	
irait	6	6	5	 pA_I	
quoi	4	4	4	 pA_L	
d	5	5	1	 pA_B	
accord	5	5	1	 pA_L	
	 	 	 	 	 
ouais	6	7	4	 pA_B	
parfait	8	14	5	 pA_I	
ouais	4	4	4	 pA_I	
pas	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
ok	5	6	5	 pA_B	
donc	5	6	4	 pA_I	
je	 NA	 NA	 NA	 pA_I	
sais	6	7	5	 pA_I	
pas	8	8	6	 pA_I	
où	7	8	6	 pA_I	
on	6	6	6	 pA_I	
se	7	11	5	 pA_I	
fait	7	12	5	 pA_L	
hein	8	11	5	 pA_U	
	 	 	 	 	 
et	12	12	12	 pA_B	
tu	12	12	12	 pA_I	
as	5	6	5	 pA_I	
dit	5	5	5	 pA_I	
quoi	7	7	5	 pA_I	
tu	7	7	7	 pA_I	
as	6	7	5	 pA_I	
dit	5	5	5	 pA_I	
quoi	6	6	6	 pA_I	
vas	5	5	5	 pA_I	
y	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
nan	7	8	5	 pA_B	
je	7	8	6	 pA_I	
disais	7	8	6	 pA_I	
ou	7	8	7	 pA_I	
on	8	8	6	 pA_I	
se	6	6	6	 pA_I	
fait	8	8	7	 pA_I	
euh	7	7	7	 pA_I	
une	6	7	5	 pA_I	
petite	6	7	5	 pA_I	
bouffe	7	7	6	 pA_I	
à	6	7	6	 pA_I	
la	6	6	6	 pA_I	
mai-	6	6	6	 pA_I	
à	6	6	6	 pA_I	
la	6	6	6	 pA_I	
maison	7	10	5	 pA_I	
ou	7	10	5	 pA_I	
bien	6	7	4	 pA_I	
euh	5	7	5	 pA_L	
	 	 	 	 	 
bonjour	12	14	5	 pA_U	
	 	 	 	 	 
salut	8	8	8	 pA_U	
	 	 	 	 	 
ça	6	8	6	 pA_B	
va	7	9	6	 pA_L	
	 	 	 	 	 
ça	8	9	7	 pA_B	
va	6	7	6	 pA_I	
et	6	6	6	 pA_I	
toi	5	6	5	 pA_L	
	 	 	 	 	 
j	 NA	 NA	 NA	 pA_B	
ai	 NA	 NA	 NA	 pA_I	
entendu	6	11	3	 pA_I	
du	4	4	4	 pA_I	
bruit	7	14	4	 pA_L	
	 	 	 	 	 
merde	6	7	6	 pA_B	
on	6	6	5	 pA_I	
nous	5	5	4	 pA_I	
entend	4	4	3	 pA_I	
arriver	4	4	3	 pA_I	
de	4	4	4	 pA_I	
loin	4	4	3	 pA_L	
	 	 	 	 	 
ah	7	7	7	 pA_B	
il	7	7	7	 pA_I	
fait	6	7	5	 pA_I	
chaud	8	8	8	 pA_I	
ici	7	8	6	 pA_L	
	 	 	 	 	 
ah	5	5	5	 pA_B	
ouais	5	5	5	 pA_I	
ça	5	5	4	 pA_I	
fait	4	4	4	 pA_I	
du	4	4	4	 pA_I	
bien	5	6	4	 pA_L	
	 	 	 	 	 
bon	7	9	6	 pA_B	
ben	5	9	1	 pA_I	
voilà	5	15	1	 pA_I	
vous	13	14	12	 pA_I	
aviez	5	6	2	 pA_I	
pas	6	8	5	 pA_I	
vu	13	14	8	 pA_L	
	 	 	 	 	 
non	7	11	4	 pA_U	
	 	 	 	 	 
voilà	9	13	3	 pA_U	
	 	 	 	 	 
c	8	13	6	 pA_B	
est	8	13	6	 pA_I	
chouette	11	11	6	 pA_I	
ouais	6	7	6	 pA_L	
	 	 	 	 	 
c	1	1	1	 pA_B	
est	1	1	1	 pA_I	
cool	8	10	3	 pA_L	
	 	 	 	 	 
bon	5	6	5	 pA_B	
ben	5	6	5	 pA_I	
je	6	7	6	 pA_I	
vous	7	7	7	 pA_I	
laisse	7	8	7	 pA_I	
vous	7	7	7	 pA_I	
installer	7	8	3	 pA_I	
les	4	4	4	 pA_I	
filles	7	10	4	 pA_L	
	 	 	 	 	 
ouais	8	9	4	 pA_U	
	 	 	 	 	 
on	5	5	5	 pA_B	
pose	6	6	5	 pA_I	
nos	6	6	6	 pA_I	
affaires	6	6	6	 pA_I	
là	6	6	6	 pA_L	
	 	 	 	 	 
waou	10	15	3	 pA_U	
	 	 	 	 	 
faites	19	19	19	 pA_B	
comme	29	29	29	 pA_I	
chez	12	15	5	 pA_I	
vous	5	8	2	 pA_L	
	 	 	 	 	 
tes	 NA	 NA	 NA	 pA_B	
chaussures	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
faut	6	6	6	 pA_B	
que	5	6	5	 pA_I	
j	5	6	1	 pA_I	
enlève	5	6	1	 pA_I	
mes	7	12	4	 pA_I	
chaussures	7	12	4	 pA_L	
	 	 	 	 	 
non	4	4	4	 pA_U	
	 	 	 	 	 
pas	4	5	4	 pA_B	
obligé	5	6	4	 pA_I	
hein	4	6	4	 pA_I	
les	3	4	3	 pA_I	
filles	3	4	3	 pA_I	
hein	3	3	3	 pA_L	
	 	 	 	 	 
bon	 NA	 NA	 NA	 pA_B	
ben	12	12	11	 pA_I	
je	9	12	4	 pA_I	
les	5	5	5	 pA_I	
garde	10	22	3	 pA_L	
	 	 	 	 	 
tu	 NA	 NA	 NA	 pA_B	
veux	 NA	 NA	 NA	 pA_I	
te	 NA	 NA	 NA	 pA_I	
mettre	6	6	6	 pA_I	
où	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
c	9	10	9	 pA_B	
est	9	10	9	 pA_I	
trop	7	9	1	 pA_I	
joli	6	8	1	 pA_I	
hm	6	7	5	 pA_L	
	 	 	 	 	 
ouais	5	6	5	 pA_B	
je	5	6	5	 pA_I	
me	5	5	5	 pA_I	
suis	5	5	4	 pA_I	
craquée	6	7	5	 pA_I	
hein	5	5	4	 pA_I	
cette	4	5	4	 pA_I	
année	4	4	3	 pA_L	
	 	 	 	 	 
ben	6	7	6	 pA_B	
ouais	6	7	4	 pA_I	
je	5	5	4	 pA_I	
vois	6	6	6	 pA_I	
ça	4	4	4	 pA_L	
	 	 	 	 	 
la	 NA	 NA	 NA	 pA_B	
petite	17	17	17	 pA_I	
rondelle	5	6	4	 pA_I	
de	4	4	4	 pA_I	
citron	4	5	1	 pA_I	
et	 NA	 NA	 NA	 pA_I	
tout	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
comme	5	11	28	 pA_B	
les	1	3	29	 pA_I	
plus	4	5	3	 pA_I	
grands	3	4	1	 pA_L	
ils	5	5	5	 pA_B	
sont	4	5	4	 pA_I	
chouettes	11	22	4	 pA_I	
ces	6	6	5	 pA_I	
verres	5	6	3	 pA_L	
	 	 	 	 	 
ouais	5	5	2	 pA_B	
ils	2	2	2	 pA_I	
sont	 NA	 NA	 NA	 pA_I	
beaux	8	8	8	 pA_L	
	 	 	 	 	 
tu	13	13	13	 pA_B	
les	15	17	13	 pA_I	
as	16	16	15	 pA_I	
pas	1	1	1	 pA_I	
achetés	3	4	30	 pA_I	
exprès	 NA	 NA	 NA	 pA_L	
	 	 	 	 	 
non	4	4	3	 pA_U	
non	4	4	4	 pA_B	
non	3	4	3	 pA_I	
non	3	3	3	 pA_L	
ouh	6	9	5	 pA_B	
ouh	16	17	15	 pA_L	
j	5	5	5	 pA_B	
ai	5	5	5	 pA_I	
mis	6	6	5	 pA_I	
le	6	7	6	 pA_I	
chauffage	8	10	7	 pA_I	
mais	7	9	6	 pA_I	
je	 NA	 NA	 NA	 pA_I	
crois	7	7	6	 pA_I	
qu	 NA	 NA	 NA	 pA_I	
il	 NA	 NA	 NA	 pA_I	
fait	5	5	4	 pA_I	
chaud	9	10	8	 pA_I	
mais	5	8	4	 pA_I	
bon	7	14	4	 pA_L	
	 	 	 	 	 
on	14	14	13	 pA_B	
va	4	4	4	 pA_I	
faire	6	6	6	 pA_I	
un	6	6	6	 pA_I	
tour	6	6	5	 pA_I	
dehors	7	21	4	 pA_L	
	 	 	 	 	 
je	4	5	4	 pA_B	
suis	4	4	4	 pA_I	
obligée	5	6	5	 pA_I	
de	6	6	6	 pA_I	
le	5	6	5	 pA_I	
mettre	5	6	5	 pA_I	
à	8	9	5	 pA_I	
fond	8	9	5	 pA_I	
autrement	6	8	30	 pA_I	
elle	5	5	5	 pA_I	
marche	4	5	3	 pA_I	
pas	5	6	5	 pA_I	
